epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,207.116,1.99384,0.9026,0.83295,0.70573,0.64144,0.67618,0.30033,1.95494,0.86619,0.83697,0.0015446,0.0015446,0.0015446
25,215.154,2.01038,0.91002,0.83056,0.76312,0.69397,0.75327,0.33497,1.88844,0.83109,0.82942,0.0015248,0.0015248,0.0015248
26,222.791,2.01095,0.91384,0.82689,0.75876,0.68312,0.73867,0.32829,1.89977,0.82331,0.83341,0.001505,0.001505,0.001505
27,230.95,2.06302,0.93167,0.83074,0.64812,0.57677,0.61731,0.25316,2.1753,0.92709,0.84235,0.0014852,0.0014852,0.0014852
28,238.727,2.04178,0.93425,0.83449,0.76565,0.69526,0.75418,0.32982,1.91228,0.82906,0.832,0.0014654,0.0014654,0.0014654
29,246.036,2.03026,0.91559,0.82148,0.71349,0.63945,0.69168,0.31356,1.9484,0.85883,0.83167,0.0014456,0.0014456,0.0014456
30,254.161,2.04297,0.93759,0.82573,0.78087,0.70791,0.76866,0.33947,1.85851,0.80942,0.83327,0.0014258,0.0014258,0.0014258
31,262.321,1.98117,0.89612,0.83263,0.78006,0.68813,0.76563,0.34687,1.84978,0.80222,0.82962,0.001406,0.001406,0.001406
32,269.628,1.96213,0.90329,0.82575,0.7638,0.68834,0.75226,0.34318,1.86308,0.81304,0.83131,0.0013862,0.0013862,0.0013862
33,277.747,2.02301,0.90239,0.82786,0.78889,0.69842,0.77229,0.35125,1.83747,0.79551,0.83026,0.0013664,0.0013664,0.0013664
34,285.151,1.93113,0.88003,0.82575,0.79303,0.70096,0.77265,0.36325,1.79694,0.77703,0.82638,0.0013466,0.0013466,0.0013466
35,292.929,1.90632,0.86081,0.82459,0.77508,0.69588,0.76382,0.35498,1.81714,0.78494,0.82823,0.0013268,0.0013268,0.0013268
36,300.6,1.91325,0.85823,0.82173,0.77316,0.71299,0.77598,0.36045,1.80193,0.77735,0.82459,0.001307,0.001307,0.001307
37,308.138,1.90506,0.85817,0.82198,0.79079,0.7117,0.78259,0.36661,1.78948,0.76176,0.82558,0.0012872,0.0012872,0.0012872
38,315.801,1.90662,0.85422,0.82533,0.77901,0.72592,0.78202,0.34991,1.83904,0.79027,0.82821,0.0012674,0.0012674,0.0012674
39,323.324,1.95682,0.87375,0.82117,0.77649,0.71121,0.77379,0.34863,1.85574,0.80078,0.8279,0.0012476,0.0012476,0.0012476
40,331.142,1.9409,0.86137,0.82292,0.79399,0.731,0.79747,0.38302,1.74913,0.76353,0.82343,0.0012278,0.0012278,0.0012278
41,338.955,1.87901,0.83243,0.82506,0.7823,0.71389,0.77947,0.36263,1.79519,0.77287,0.82424,0.001208,0.001208,0.001208
